MEP	id
COL2A1|2_IGFBP2	1539831
COL2A1|2_IGFBP3|1	1531082
COL2A1|2_IL13	1551629
COL2A1|2_IL15|IL15S48AA	1529229
COL2A1|2_IL1B	1506129
COL2A1|2_IL6	1587473
COL2A1|2_IL7|1	1567235
COL2A1|2_JAG1|1	1534435
COL2A1|2_JAG2|Long	1555376
COL2A1|2_KITLG|1	1551212
COL2A1|2_KNG1|HMW	1577670
COL2A1|2_LEP	1570294
COL2A1|2_LYVE1	1553199
COL2A1|2_NRG1|1	1576299
COL2A1|2_NRG1|10	1589312
COL2A1|2_NRG1|6	1501812
COL2A1|2_PDGFAB	1532899
COL2A1|2_PDGFB|1	1568433
COL2A1|2_PTN	1571099
COL2A1|2_SHH	1591236
COL2A1|2_TGFB1||Cterminus	1499486
COL2A1|2_TGFB1||LAP	1517742
COL2A1|2_TGFB2|A	1586238
COL2A1|2_THPO|1	1553775
COL2A1|2_TNF	1580329
COL2A1|2_TNFRSF11B	1558770
COL2A1|2_TNFSF11|1	1523025
COL2A1|2_VEGFA|VEGF206	1586773
COL2A1|2_WNT10A	1569412
COL2A1|2_WNT3A|1	1581873
COL2A1|2_Wnt5a|1	1563412
COL3A1|1_ANGPT1|1	1550741
COL3A1|1_ANGPT2|1	1556341
COL3A1|1_AREG	1584232
COL3A1|1_BMP2	1497979
COL3A1|1_BMP3	1572470
COL3A1|1_BMP4	1572845
COL3A1|1_BMP5|1	1574809
COL3A1|1_BMP6	1559870
COL3A1|1_BMP7	1535238
COL3A1|1_CSF2	1574109
